Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Doughnut Dutch style plain,per 100g,"9,6","6,6",241,"0,06","0,15","0,083","0,26","0,1","4,3",0.0,16.0,65.0,"0,6",15.0,107.0,153.0,355.0,"0,58",Drop
Brownie wo filling,per 100g,"19,8","4,4",420,"0,03","0,08","0,037","0,3","1,5","4,5",0.0,163.0,22.0,"1,1",20.0,77.0,109.0,154.0,"0,56",Drop
Biscuit Dutch Taai-taai,per 100g,"0,9","5,3",353,"0,03","0,03","0,012",0,"0,1","0,5",0.0,1.0,17.0,"0,7",16.0,100.0,132.0,132.0,"0,65",Drop
Milk semi-skimmed lactose free,per 100g,"1,5","3,4",44,"0,04","0,13","0,033","0,26",0,0,1.0,16.0,117.0,0,12.0,87.0,146.0,45.0,"0,41",Dairy
Herb butter,per 100g,"67,7","1,2",623,"0,01","0,03",0,"0,3","0,3","2,8",0.0,768.0,17.0,"0,1",2.0,23.0,27.0,353.0,"0,09",Fats
Oil coconut,per 100g,"99,1",0,892,0,0,0,0,0,"0,4",0.0,0.0,1.0,"0,1",0.0,0.0,0.0,0.0,"0,02",Fats
Fudge/caramel soft,per 100g,16,"1,9",435,"0,02","0,17","0,03","0,3",0,"0,3",0.0,0.0,126.0,"0,2",13.0,105.0,153.0,206.0,"0,5",Drop
Aniseed comfits crushed/pink&white/blue&white,per 100g,"2,4",2,402,"0,05","0,04","0,098",0,0,0,3.0,0.0,97.0,"5,6",27.0,66.0,219.0,7.0,"0,8",Drop
Chocolate flakes mix white and dark,per 100g,"14,4","3,2",450,"0,06","0,17","0,04","0,44",0,1,0.0,30.0,72.0,"6,2",87.0,164.0,493.0,34.0,"0,49",Drop
Fruit drink conc w sugar and sweetener 20-25 g CHO,per 100g,0,"0,1",94,0,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0,80.0,3.0,"0,05",Drop
Fruit drink conc w 45-50 mg vit C,per 100g,0,0,238,0,0,0,0,0,0,48.0,0.0,0.0,0,4.0,0.0,80.0,3.0,"0,05",Drop
Mentos cheewy dragee,per 100g,"1,9",0,387,0,0,0,0,0,0,0.0,0.0,4.0,"0,2",2.0,3.0,5.0,40.0,"0,04",Drop
Pasta gluten free cooked Schar,per 100g,1,"3,6",143,"0,07","0,03","0,08",0,0,"0,2",0.0,0.0,5.0,"0,4",13.0,32.0,37.0,21.0,"0,2",Bread
Pasta w fibre Honig cooked,per 100g,"0,6","4,4",134,"0,04","0,02","0,032",0,0,0,0.0,0.0,9.0,"0,8",22.0,50.0,40.0,5.0,"0,6",Bread
Crisps tortilla several flavours,per 100g,25,"6,6",487,"0,02","0,1","0,213",0,0,"4,3",0.0,76.0,5.0,"2,3",32.0,200.0,213.0,687.0,"0,23",Drop
Vegetables for stir-frying mushroom cooked,per 100g,"0,3","1,9",25,"0,05","0,12","0,098",0,0,"0,5",11.0,123.0,25.0,"0,7",9.0,40.0,231.0,6.0,"0,27",Vegetables
Sardines grilled,per 100g,"7,8","25,3",171,0,"0,25","0,41",12,"12,3","0,3",0.0,6.0,130.0,"1,7",34.0,320.0,400.0,140.0,"1,4",Meat
Fish fatty >5 g fat prepared in microwave oven no ingredients added,per 100g,"11,5","24,7",202,"0,15","0,26","0,257","3,98","6,3","0,7",1.0,363.0,29.0,"0,8",17.0,227.0,332.0,82.0,"0,78",Meat
Filo pastry unprepared,per 100g,"1,9",8,286,"0,14","0,03","0,09",0,0,"0,5",0.0,0.0,63.0,"1,5",23.0,86.0,124.0,253.0,"0,59",Bread
Beer w fruitjuice Radler,per 100g,0,"0,4",39,0,"0,01","0,024","0,01",0,0,2.0,0.0,4.0,0,4.0,12.0,29.0,2.0,"0,02",Drop
Beer bock,per 100g,0,"0,6",61,0,"0,03","0,078","0,02",0,0,0.0,0.0,3.0,0,8.0,20.0,53.0,2.0,"0,03",Drop
