Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Peas marrowfat canned,per 100g,"0,8","7,1",108,"0,08","0,01","0,019",0,0,"0,3",0.0,0.0,32.0,"1,2",27.0,112.0,249.0,113.0,"0,85",Vegetables
Beans white baked in tomato sauce canned,per 100g,"0,6","5,7",101,"0,14","0,04","0,03",0,0,"0,5",0.0,14.0,56.0,"1,6",37.0,101.0,341.0,246.0,"0,64",Vegetables
Almonds blanched unsalted,per 100g,"55,8","21,7",631,"0,15","0,7","0,06",0,0,"21,8",0.0,1.0,283.0,"3,3",305.0,625.0,822.0,5.0,"3,1",Nuts
Cashew nuts unsalted,per 100g,"48,9","21,2",615,"0,29","0,13","0,195",0,0,"1,9",0.0,2.0,44.0,"6,7",269.0,607.0,682.0,10.0,"5,8",Nuts
Hazelnuts unsalted,per 100g,63,"16,4",670,"0,38","0,11","0,34",0,0,"15,2",4.0,2.0,160.0,"3,6",160.0,320.0,720.0,1.0,"2,25",Nuts
Chestnuts raw,per 100g,"2,7",4,189,"0,3","0,05","0,3",0,0,"1,2",0.0,0.0,40.0,1,45.0,90.0,600.0,5.0,"0,5",Nuts
Coconut meat,per 100g,40,4,406,"0,03","0,01","0,04",0,0,"0,3",0.0,0.0,20.0,2,32.0,90.0,400.0,25.0,"1,1",Fruits
Brazil nuts unsalted,per 100g,"67,1","14,3",687,"0,62","0,04","0,101",0,0,"6,6",1.0,0.0,160.0,"3,1",350.0,650.0,590.0,1.0,"4,06",Nuts
Peanuts unsalted,per 100g,"51,7","25,2",627,"0,16","0,08","0,158",0,0,"6,4",0.0,1.0,56.0,"1,9",216.0,456.0,757.0,0.0,"3,3",Nuts
Mixed nuts and raisins,per 100g,"32,1",11,496,"0,25","0,11","0,173",0,0,"6,3",1.0,1.0,115.0,"2,7",155.0,312.0,735.0,13.0,"1,72",Nuts
Walnuts unsalted,per 100g,"68,1","15,9",706,"0,37","0,11","0,417",0,0,"3,1",0.0,4.0,117.0,"3,4",196.0,521.0,532.0,0.0,"3,4",Nuts
Nuts mixed unsalted,per 100g,"59,6","18,1",658,"0,35","0,28","0,245",0,0,"10,3",1.0,3.0,151.0,4,231.0,510.0,675.0,4.0,"3,69",Nuts
Flour buckwheat,per 100g,2,9,353,"0,2","0,05","0,25",0,0,"0,3",0.0,0.0,15.0,2,190.0,150.0,200.0,2.0,2,Bread
Breakfast cereal Cornflakes Kellogg's,per 100g,"0,9",7,378,"0,91","1,2","1,2","2,1","4,2","0,4",0.0,0.0,5.0,8,10.0,50.0,100.0,452.0,"0,2",Bread
Custard powder,per 100g,"0,1","0,3",350,0,0,0,0,0,0,0.0,0.0,20.0,"0,5",7.0,30.0,10.0,334.0,"0,3",Bread
Barley malt,per 100g,2,10,332,"0,09","0,08","0,25",0,0,"0,3",0.0,0.0,60.0,4,44.0,350.0,300.0,10.0,"3,1",Bread
Barley pearl raw,per 100g,2,9,339,"0,03","0,03","0,25",0,0,"0,4",0.0,0.0,15.0,2,71.0,200.0,250.0,5.0,2,Bread
Oatmeal,per 100g,"7,3","12,8",373,"0,6","0,05","0,12",0,0,"1,6",0.0,0.0,70.0,4,117.0,380.0,300.0,7.0,"3,02",Bread
Cornstarch,per 100g,"0,1",0,353,0,0,0,0,0,0,0.0,0.0,20.0,"1,5",4.0,30.0,3.0,10.0,"0,3",Bread
Flour rye 60% extraction,per 100g,1,8,343,"0,15","0,07","0,225",0,0,"0,2",0.0,0.0,30.0,"1,5",51.0,150.0,200.0,10.0,"1,3",Bread
Flour rye,per 100g,2,10,328,"0,4","0,2","0,22",0,0,"1,6",0.0,1.0,45.0,4,92.0,350.0,500.0,5.0,3,Bread
Flour wheat white,per 100g,"1,2","10,4",335,"0,07","0,04","0,12",0,0,"0,4",0.0,0.0,23.0,"0,8",20.0,103.0,156.0,1.0,"0,64",Bread
Flour wheat wholemeal,per 100g,2,"14,4",330,"0,4","0,15","0,35",0,0,"1,4",0.0,1.0,30.0,4,124.0,370.0,250.0,4.0,"2,9",Bread
Binding agents av,per 100g,"1,2",10,335,"0,07","0,04","0,115",0,0,"0,4",0.0,0.0,23.0,"0,8",19.0,100.0,150.0,1.0,"0,63",Bread
Breakfast cereal porridge Olvarit fijne granen 6+ months,per 100g,"2,1","12,4",367,1,"0,1","0,35",0,0,"1,4",0.0,0.0,30.0,4,110.0,370.0,250.0,4.0,"2,2",Bread
Breakfast cereal porridge Brinta,per 100g,"2,1",11,344,"0,35","0,06","0,22",0,0,"1,4",0.0,0.0,40.0,"3,5",85.0,330.0,400.0,200.0,"2,4",Bread
"Starch, potato",per 100g,0,0,320,0,0,0,0,0,0,0.0,0.0,20.0,"0,5",3.0,30.0,10.0,5.0,"0,3",Bread
Crispbakes Dutch white,per 100g,"4,7","14,1",408,"0,08","0,14","0,071",0,0,"0,8",0.0,0.0,26.0,"1,8",25.0,130.0,222.0,203.0,"0,9",Bread
Crackers cream,per 100g,"14,5","9,1",448,"0,23","0,05","0,03",0,0,"1,3",0.0,0.0,110.0,"1,7",25.0,110.0,120.0,413.0,"0,7",Bread
Crispbread av,per 100g,"5,6","11,6",376,"0,25","0,13","0,245",0,0,1,0.0,0.0,73.0,"3,2",93.0,293.0,383.0,412.0,"2,52",Bread
Wheat bread roll white soft,per 100g,"3,6","9,7",262,"0,07","0,1","0,04",0,0,"0,2",0.0,1.0,37.0,"0,9",22.0,103.0,177.0,432.0,"0,71",Bread
Wheat germ,per 100g,"9,9",31,393,"2,5","0,85","0,6",0,0,19,0.0,10.0,62.0,"5,3",280.0,1250.0,900.0,3.0,"16,87",Bread
Danish pastry,per 100g,"14,1","5,8",349,"0,1","0,04","0,05",0,0,"0,7",0.0,0.0,20.0,"1,5",27.0,100.0,300.0,300.0,"0,63",Drop
Wheat currant bread white,per 100g,"2,4","7,8",273,"0,06","0,11","0,12",0,0,"0,7",0.0,0.0,56.0,"1,5",27.0,98.0,387.0,354.0,"0,63",Bread
Biscuit Liga Baby 6-12 months,per 100g,"7,6","6,5",394,"0,68","0,08","0,027",0,0,"1,5",0.0,0.0,48.0,1,20.0,45.0,210.0,214.0,"0,8",Drop
Wheat bread brown,per 100g,"1,7","9,8",236,"0,09","0,06","0,072",0,0,"0,1",0.0,0.0,29.0,"1,4",43.0,142.0,192.0,397.0,1,Bread
Crackers Matzes,per 100g,1,11,376,"0,17","0,06","0,09",0,0,"0,1",0.0,0.0,15.0,2,25.0,125.0,190.0,2.0,"0,6",Bread
Cake Dutch spiced Ontbijtkoek,per 100g,"1,2",3,308,"0,03","0,03","0,012",0,"0,1","0,5",0.0,1.0,17.0,"0,7",16.0,100.0,132.0,232.0,"0,65",Drop
Wheat bread white milk based,per 100g,"2,4","9,6",257,"0,08","0,12","0,054",0,0,"0,1",0.0,0.0,119.0,"0,9",23.0,112.0,157.0,414.0,"0,58",Bread
Rye bread wholemeal,per 100g,"1,3","5,6",193,"0,06","0,06","0,2",0,0,"0,9",0.0,0.0,33.0,"2,7",57.0,174.0,241.0,293.0,"1,5",Bread
Rye wheat bread brown,per 100g,"1,5","8,2",233,"0,12","0,06","0,081",0,0,"0,9",0.0,0.0,34.0,2,55.0,178.0,226.0,351.0,"1,43",Bread
Wheat raisin bread white,per 100g,"2,7","7,7",272,"0,07","0,1","0,096",0,0,"0,7",0.0,0.0,50.0,"1,7",27.0,99.0,403.0,347.0,"0,61",Bread
Wheat bread wholemeal av fine and coarse,per 100g,"2,3","11,1",234,"0,11","0,07","0,103",0,0,"0,2",0.0,0.0,34.0,2,66.0,200.0,267.0,393.0,"1,41",Bread
Wheat bread white water based,per 100g,"1,6",9,247,"0,06","0,04","0,032",0,0,"0,1",0.0,0.0,29.0,"0,8",19.0,84.0,115.0,414.0,"0,6",Bread
Wheat malt bread brown,per 100g,"1,9","9,4",249,"0,1","0,09","0,122",0,0,"0,2",0.0,0.0,49.0,"1,5",32.0,144.0,159.0,392.0,1,Bread
Puff pastry filled w almond paste,per 100g,23,7,391,"0,05","0,17","0,046","0,15","1,3","7,4",1.0,137.0,62.0,1,57.0,150.0,191.0,207.0,"0,81",Drop
Apple pie Dutch w shortbread wo butter,per 100g,9,"3,4",225,"0,03","0,1","0,039","0,07","0,9","1,8",2.0,93.0,23.0,1,13.0,63.0,94.0,113.0,"0,28",Drop
Biscuit,per 100g,11,"7,6",437,"0,07","0,03","0,027",0,0,"2,4",0.0,0.0,48.0,1,20.0,180.0,411.0,402.0,"0,59",Drop
Cake wo butter,per 100g,"22,4","5,7",394,"0,04","0,1","0,058","0,38","2,3","2,7",0.0,249.0,22.0,"0,9",9.0,87.0,86.0,413.0,"0,57",Drop
Cake sponge Dutch Eierkoek,per 100g,"1,5",6,303,"0,04","0,09","0,067","0,27","0,2","0,6",0.0,25.0,39.0,"0,6",12.0,85.0,108.0,90.0,"0,51",Drop
Gateau w whipped cream,per 100g,"18,9","4,6",316,"0,08","0,15","0,04","0,3","0,4","1,2",0.0,139.0,56.0,"0,6",12.0,140.0,134.0,60.0,"0,44",Drop
Gateau w butter-cream filling,per 100g,"26,6","3,7",430,"0,03","0,09","0,034","0,42","0,4","1,7",0.0,321.0,24.0,"0,6",7.0,69.0,55.0,87.0,"0,43",Drop
Almond paste filled tarts av,per 100g,"15,8","6,4",411,"0,05","0,05","0,027",0,"0,1","2,5",0.0,96.0,39.0,"0,9",28.0,138.0,158.0,150.0,"0,54",Drop
Biscuit av,per 100g,"20,7","5,7",475,"0,06","0,05","0,028","0,03","0,1","2,3",0.0,71.0,42.0,"1,3",26.0,132.0,189.0,282.0,"0,62",Drop
Coconut macaroons,per 100g,"21,2",4,455,"0,02","0,05","0,041",0,0,"0,5",0.0,0.0,10.0,"0,7",41.0,35.0,150.0,55.0,"0,4",Drop
Biscuit sponge fingers,per 100g,"3,5","7,2",402,"0,09","0,18","0,03","0,53","0,5","1,4",0.0,116.0,40.0,2,17.0,150.0,100.0,69.0,"0,6",Drop
Biscuit spiced Speculaas av,per 100g,"20,3",5,469,"0,03","0,02","0,009",0,"0,2","3,7",0.0,52.0,35.0,"1,2",13.0,144.0,115.0,351.0,"0,44",Drop
Biscuit Dutch shortbread sprits,per 100g,"29,8","4,9",489,"0,04","0,04","0,053",0,"0,2","1,2",0.0,333.0,19.0,"0,5",9.0,64.0,76.0,165.0,"0,39",Drop
Biscuit brown/wholemeal,per 100g,"14,9","7,8",459,"0,25","0,1","0,06",0,0,4,0.0,0.0,30.0,"1,8",64.0,300.0,213.0,338.0,"1,35",Drop
Biscuit salted,per 100g,23,"8,1",472,"0,07","0,03","0,027",0,0,"1,9",0.0,0.0,38.0,"1,6",24.0,112.0,227.0,892.0,"0,59",Drop
Puff pastry wo butter baked,per 100g,47,7,614,"0,32","0,26","0,1",0,0,"0,1",0.0,0.0,15.0,"0,6",10.0,50.0,50.0,600.0,"0,32",Bread
Snack sausage roll puff pastry,per 100g,"23,4","7,2",356,"0,29","0,18","0,245","0,8","0,4","0,2",5.0,11.0,11.0,"1,1",16.0,126.0,126.0,625.0,"2,17",Drop
Milk raw,per 100g,"4,4","3,4",71,"0,03","0,21","0,028","0,44",0,"0,2",0.0,43.0,123.0,0,12.0,103.0,161.0,39.0,"0,37",Dairy
Coffee creamer Becel,per 100g,"4,4","7,1",112,"0,05","0,29","0,038","0,36",0,"2,6",0.0,1.0,247.0,0,24.0,205.0,341.0,124.0,"0,85",Dairy
Milk chocolate-flavoured full fat,per 100g,"2,8","3,3",82,"0,02","0,15","0,03","0,33",0,"0,1",2.0,32.0,100.0,"0,6",19.0,87.0,189.0,45.0,"0,46",Dairy
Milk chocolate-flavoured low fat,per 100g,"0,3","3,3",62,"0,07","0,15","0,026","0,3",0,0,1.0,0.0,98.0,"0,2",18.0,96.0,190.0,51.0,"0,46",Dairy
Coffee creamer powder,per 100g,"35,3","2,1",560,0,"0,01","0,001",0,0,"0,5",0.0,39.0,2.0,"0,2",0.0,624.0,867.0,333.0,"0,15",Substitudes
Custard chocolate full fat,per 100g,"2,6","2,4",88,"0,02","0,16","0,026","0,13",0,"0,1",0.0,27.0,80.0,"0,8",17.0,73.0,173.0,50.0,"0,46",Dairy
Yoghurt full fat,per 100g,"2,7","3,8",56,"0,02","0,17","0,028","0,22",0,"0,1",0.0,31.0,145.0,0,12.0,111.0,159.0,39.0,"0,5",Dairy
Milk whole,per 100g,"3,4","3,3",61,"0,03","0,18","0,033","0,4",0,"0,1",0.0,37.0,124.0,0,12.0,104.0,163.0,42.0,"0,46",Dairy
Coffee creamer full fat,per 100g,"7,7","7,5",145,"0,04","0,36","0,053","0,81",0,"0,3",1.0,92.0,271.0,"0,1",29.0,245.0,383.0,125.0,"0,99",Dairy
Milk condensed w sugar,per 100g,"8,8","8,1",330,"0,09","0,46","0,07","0,7",0,"0,2",4.0,99.0,290.0,"0,2",29.0,240.0,360.0,99.0,1,Dairy
Custard vanilla full fat,per 100g,"2,8","2,3",86,"0,02","0,17","0,028","0,26",0,"0,1",0.0,29.0,89.0,0,9.0,69.0,121.0,52.0,"0,3",Dairy
Yoghurt low fat w fruit,per 100g,"0,2",3,67,"0,01","0,15","0,026","0,23",0,"0,1",0.0,2.0,113.0,0,11.0,82.0,146.0,35.0,"0,39",Dairy
Coffee creamer half fat,per 100g,"4,1",7,110,"0,05","0,34","0,051","0,38",0,"0,1",1.0,47.0,211.0,"0,1",21.0,213.0,308.0,129.0,"0,65",Dairy
Milk semi-skimmed,per 100g,"1,4","3,4",45,"0,04","0,18","0,033","0,45",0,0,1.0,16.0,123.0,0,12.0,104.0,160.0,42.0,"0,41",Dairy
Porridge oatmeal prepared w whole milk unsweetened,per 100g,"3,8","4,3",95,"0,1","0,17","0,042","0,36",0,"0,1",0.0,33.0,118.0,"0,5",23.0,134.0,178.0,38.0,"0,73",Dairy
Buttermilk,per 100g,"0,2",3,30,"0,02","0,15","0,028","0,17",0,0,0.0,3.0,109.0,0,10.0,90.0,136.0,36.0,"0,41",Dairy
Porridge buttermilk w wheat flour white,per 100g,"0,5","3,7",52,"0,03","0,15","0,04","0,17",0,0,1.0,4.0,99.0,0,10.0,74.0,123.0,41.0,"0,31",Dairy
Coffee creamer,per 100g,"20,2","3,3",210,"0,03","0,1","0,03","0,36","0,1","0,4",0.0,222.0,97.0,0,9.0,79.0,120.0,63.0,"0,36",Dairy
Milk skimmed,per 100g,"0,1","3,7",35,"0,04","0,18","0,037","0,44",0,0,0.0,1.0,126.0,0,12.0,106.0,169.0,44.0,"0,46",Dairy
Milk skimmed dried,per 100g,"0,6","35,4",349,"0,44","1,63","0,44",5,0,"0,2",7.0,80.0,1130.0,"0,2",113.0,921.0,1610.0,500.0,"3,75",Dairy
Milk whole dried,per 100g,26,"23,9",478,"0,34","1,21","0,405","3,7","0,1","2,5",9.0,262.0,846.0,"0,2",83.0,683.0,1230.0,290.0,"2,8",Dairy
Milk human,per 100g,"3,5","1,1",66,"0,02","0,04","0,005","0,05","0,1","0,1",6.0,63.0,28.0,"0,1",4.0,15.0,48.0,20.0,"0,4",Dairy
Porridge rice,per 100g,"2,9","3,1",86,"0,03","0,17","0,038","0,26",0,"0,1",1.0,27.0,103.0,"0,1",12.0,86.0,135.0,76.0,"0,41",Dairy
Cream whipping unprepared,per 100g,"35,3","2,3",339,"0,02","0,12","0,024","0,2","0,1",1,1.0,391.0,78.0,0,8.0,58.0,97.0,36.0,"0,18",Dairy
Yoghurt Bulgarian whole milk,per 100g,"4,3","4,5",77,"0,02","0,17","0,028","0,22",0,"0,1",0.0,31.0,150.0,0,12.0,111.0,200.0,56.0,"0,5",Dairy
Yoghurt low fat,per 100g,"0,2","4,1",37,"0,02","0,17","0,041","0,28",0,0,1.0,2.0,152.0,0,13.0,118.0,159.0,43.0,"0,61",Dairy
Ice cream dairy av,per 100g,"11,3","2,9",216,"0,02","0,23","0,036","0,41",0,"0,5",0.0,162.0,94.0,"0,1",11.0,79.0,165.0,49.0,"0,26",Dairy
Quark low fat,per 100g,0,"8,4",51,"0,02","0,14","0,026","0,7",0,0,0.0,0.0,139.0,0,12.0,139.0,160.0,37.0,"0,57",Dairy
Quark half fat,per 100g,"3,2","7,5",77,"0,02","0,14","0,025","0,7","0,1","0,1",0.0,44.0,137.0,0,12.0,131.0,160.0,40.0,"0,55",Dairy
Quark full fat,per 100g,8,"7,5",118,"0,02","0,14","0,025","0,7","0,1","0,2",0.0,87.0,134.0,0,11.0,122.0,159.0,35.0,"0,53",Dairy
Oil peanut,per 100g,100,0,900,0,0,0,0,0,"15,2",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Fats
Butter unsalted,per 100g,"81,2","0,7",737,"0,01","0,03",0,"0,3","0,3","2,8",0.0,912.0,17.0,"0,1",2.0,23.0,27.0,5.0,"0,09",Fats
Oil soya,per 100g,"99,2","0,3",894,0,0,0,0,0,"28,4",0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0,Fats
Lard,per 100g,100,0,900,0,0,0,0,"1,5",0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,"0,5",Fats
Beef fat,per 100g,99,0,891,0,0,0,0,0,"0,3",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"0,76",Fats
Oil sunflower seed,per 100g,"99,5","0,3",897,0,0,0,0,0,"48,7",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Fats
Corned beef,per 100g,"11,9","24,3",208,"0,01","0,1","0,04","1,9","0,5","0,8",0.0,0.0,10.0,4,15.0,150.0,100.0,802.0,"5,5",Meat
Sausage Dutch Frikandel deep-fried in liquid fat,per 100g,"18,4","13,8",251,"0,13","0,12","0,086","0,54","0,4","1,5",1.0,26.0,108.0,"2,1",28.0,210.0,214.0,1012.0,"1,5",Drop
Sausage smoked cooked av,per 100g,"26,3","14,1",304,"0,29","0,12","0,085","0,78","0,4","0,7",25.0,21.0,22.0,"1,3",16.0,234.0,395.0,868.0,"2,45",Meat
Croquette meat ragout deep-fried in liquid fat,per 100g,"16,6","8,9",272,"0,09","0,06","0,034","0,34",0,"3,5",0.0,14.0,15.0,"1,2",17.0,84.0,115.0,545.0,"1,2",Drop
Ham smoked raw,per 100g,"9,5","24,6",188,"0,93","0,17","0,399","0,61","0,4","0,4",4.0,1.0,5.0,"0,9",29.0,259.0,717.0,1917.0,"2,3",Meat
Turkey raw,per 100g,6,"21,8",141,"0,08","0,17","0,519","2,44","0,5","0,1",3.0,17.0,6.0,2,26.0,218.0,348.0,66.0,"1,94",Meat
Liver ox boiled (processed meat product),per 100g,5,20,133,"0,21",3,"0,35",98,"4,3","0,4",15.0,11410.0,10.0,"8,1",19.0,225.0,300.0,906.0,"0,5",Meat
Liver pork boiled (processed meat product),per 100g,"4,1","19,8",132,"0,18",3,"0,35",25,"1,5","0,2",15.0,15772.0,10.0,"23,3",21.0,225.0,300.0,1325.0,"0,67",Meat
Liver pate,per 100g,"28,3","14,2",318,"0,05","0,62","0,115","9,43","0,9",0,0.0,2196.0,12.0,"3,5",9.0,180.0,121.0,800.0,"1,5",Meat
Luncheon meat tinned,per 100g,"23,8","12,9",279,"0,06","0,15","0,1",1,"0,7","0,3",27.0,0.0,39.0,1,10.0,200.0,120.0,920.0,"1,5",Meat
Venison raw,per 100g,"3,6","22,4",122,"0,22","0,25","0,5","1,4","0,4","0,8",0.0,8.0,20.0,3,25.0,220.0,342.0,84.0,"2,4",Meat
Beef smoke-dried,per 100g,2,22,108,"0,04","0,17","0,41","1,3","0,1","0,6",0.0,2.0,5.0,"2,5",21.0,190.0,268.0,1800.0,"3,3",Meat
Bacon fat smoked raw,per 100g,"73,2",5,678,"0,02","0,03","0,025","0,65","2,6","0,9",0.0,32.0,3.0,"0,4",2.0,21.0,29.0,1176.0,"0,31",Meat
Processed meat products av,per 100g,"17,9","16,6",239,"0,29","0,22","0,183","1,83","0,6","0,7",14.0,806.0,16.0,"1,9",17.0,218.0,318.0,991.0,"2,34",Meat
Kipper smoked,per 100g,"17,5","20,8",242,"0,05","0,12","0,175","8,05","8,9",1,0.0,26.0,100.0,"0,8",32.0,200.0,311.0,1625.0,"0,87",Meat
Shrimps Dutch boiled,per 100g,"1,6","19,8",94,"0,03","0,34","0,042","16,78","0,1","5,1",0.0,1.0,134.0,"0,2",35.0,139.0,142.0,953.0,"1,8",Meat
Herring fillet in tomato sauce tinned,per 100g,"14,6",12,201,"0,05","0,08","0,15","10,4","6,2","3,6",4.0,41.0,64.0,"1,4",23.0,128.0,295.0,454.0,"0,53",Meat
Herring salted,per 100g,"10,1","17,6",172,0,"0,18","0,343","9,26","6,2","0,4",0.0,26.0,51.0,"1,4",40.0,297.0,293.0,1097.0,"0,73",Meat
Crab in water tinned,per 100g,"1,4","18,1",85,0,"0,05","0,3",0,0,"2,4",0.0,0.0,120.0,"2,8",32.0,140.0,100.0,691.0,"5,7",Meat
Lobster boiled,per 100g,"0,8","19,7",86,"0,08","0,06","0,1","2,5",0,"3,6",0.0,0.0,125.0,"1,7",53.0,197.0,214.0,216.0,"1,4",Meat
Mackerel raw,per 100g,"17,9",18,233,"0,17","0,3","0,4","8,8",8,"0,4",0.0,54.0,20.0,1,37.0,220.0,335.0,85.0,"0,5",Meat
Oysters,per 100g,"1,9",6,57,"0,15","0,2",0,"16,2",1,"0,9",0.0,75.0,70.0,7,32.0,175.0,250.0,500.0,"59,2",Meat
Sardines/pilchards in oil tinned,per 100g,16,"21,7",231,"0,01","0,29","0,18",15,"3,3","0,3",0.0,7.0,500.0,"3,1",46.0,520.0,368.0,458.0,"2,2",Meat
Egg white chicken raw,per 100g,0,"10,5",44,"0,03","0,35",0,"0,65",0,0,0.0,0.0,12.0,"0,1",10.0,12.0,142.0,159.0,"0,09",Meat
Spring roll deep-fried in vegetable oil,per 100g,"8,2","7,1",181,"0,09","0,08","0,085","0,17","0,4","1,2",5.0,9.0,34.0,1,16.0,81.0,166.0,608.0,"0,73",Drop
Sugar castor brown,per 100g,0,0,396,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.0,50.0,25.0,"0,1",Drop
Sugar castor white,per 100g,0,0,396,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Sugar granulated,per 100g,0,0,400,0,0,0,0,0,0,0.0,0.0,0.0,"0,1",2.0,0.0,4.0,0.0,"0,01",Drop
Syrup Keukenstroop,per 100g,0,0,328,0,"0,04",0,0,0,0,0.0,0.0,50.0,10,3.0,25.0,500.0,0.0,"0,1",Drop
Advocaat liqueur,per 100g,"3,2","4,3",236,"0,02","0,13","0,031","0,53","0,4","1,1",0.0,68.0,20.0,"0,8",4.0,81.0,52.0,55.0,"0,47",Drop
Juice apple,per 100g,0,"0,1",46,0,0,"0,021",0,0,0,0.0,0.0,8.0,"0,1",6.0,8.0,99.0,4.0,"0,03",Drop
Fruit juice drink redcurrent,per 100g,0,0,57,0,0,0,0,0,"0,1",0.0,0.0,7.0,0,10.0,8.0,80.0,2.0,"0,2",Drop
Gin Dutch red currant flavoured,per 100g,0,0,184,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,57.0,0.0,0,Drop
Fruit juice drink blackcurrant,per 100g,0,0,61,0,0,0,0,0,"0,8",30.0,0.0,20.0,0,6.0,12.0,125.0,5.0,"0,3",Drop
Beer old brown,per 100g,0,"0,5",38,0,"0,03","0,055",0,0,0,0.0,0.0,2.0,"0,1",4.0,12.0,18.0,3.0,0,Drop
Beer pilsner,per 100g,0,"0,4",44,0,"0,03","0,055","0,03",0,0,0.0,0.0,3.0,0,8.0,28.0,54.0,3.0,"0,03",Drop
Brandy,per 100g,0,0,231,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,"0,2",Drop
Gin Dutch lemon flavoured,per 100g,0,0,180,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Cognac,per 100g,0,0,224,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Soft drink w sugar w caffeine,per 100g,0,0,41,0,0,0,0,0,0,0.0,0.0,5.0,0,0.0,16.0,0.0,1.0,0,Drop
Juice grape,per 100g,0,"0,2",65,"0,04","0,02","0,03",0,0,"0,4",4.0,0.0,13.0,"0,6",8.0,13.0,137.0,2.0,"0,1",Drop
Soft drink m sugar wo caffeine,per 100g,0,0,37,0,0,0,0,0,0,0.0,2.0,2.0,0,0.0,0.0,1.0,3.0,0,Drop
Gin young Dutch,per 100g,0,0,196,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Gin old Dutch,per 100g,0,0,200,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Liqueur 15-25 vol% alcohol,per 100g,0,0,242,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Port wine,per 100g,0,0,156,0,"0,01","0,01",0,0,0,0.0,0.0,4.0,"0,4",11.0,12.0,97.0,4.0,"0,21",Drop
Rum,per 100g,0,0,234,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"0,02",Drop
Sherry,per 100g,0,0,111,0,"0,01","0,02",0,0,0,0.0,0.0,8.0,"0,5",8.0,7.0,64.0,27.0,"0,04",Drop
Juice orange pasteurized,per 100g,"0,1","0,6",45,"0,07","0,02","0,055",0,0,"0,2",31.0,4.0,12.0,"0,1",12.0,19.0,172.0,1.0,"0,08",Drop
Tomato juice,per 100g,0,"0,7",16,"0,05","0,02","0,08",0,0,"1,8",8.0,45.0,13.0,"0,3",10.0,17.0,212.0,360.0,"0,12",Drop
Vermouth,per 100g,0,0,150,0,0,0,0,0,0,0.0,0.0,6.0,"0,4",6.0,7.0,18.0,28.0,"0,03",Drop
Brandy Dutch vieux,per 100g,0,0,200,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,Drop
Juice drink w sugar,per 100g,0,0,41,0,0,0,0,0,0,5.0,0.0,5.0,0,1.0,2.0,14.0,1.0,0,Drop
Whisky,per 100g,0,0,245,0,0,0,0,0,0,0.0,0.0,2.0,0,0.0,0.0,3.0,0.0,"0,01",Drop
Wine red,per 100g,0,0,82,0,"0,02","0,03",0,0,0,0.0,0.0,8.0,"0,6",10.0,12.0,70.0,7.0,"0,05",Drop
Wine white dry,per 100g,0,"0,1",67,0,"0,01","0,02",0,0,0,0.0,0.0,12.0,"0,6",8.0,8.0,86.0,4.0,"0,04",Drop
Syrup apple,per 100g,0,"1,8",280,"0,03","0,1","0,088",0,0,0,1.0,0.0,24.0,"13,2",82.0,86.0,599.0,48.0,"0,81",Drop
Cocoa powder,per 100g,"21,7","18,5",379,"0,04","0,12","0,05",0,0,"0,7",0.0,0.0,150.0,"10,5",525.0,600.0,1500.0,100.0,7,Drop
Chocolate milk,per 100g,"34,1",7,548,"0,09","0,35","0,041","0,58",0,"1,2",1.0,63.0,162.0,"3,2",50.0,205.0,404.0,70.0,"1,1",Drop
Chocolate dark,per 100g,"33,7","6,5",531,"0,07","0,09","0,018","0,29",0,"1,3",1.0,12.0,50.0,"3,2",89.0,150.0,400.0,10.0,"1,3",Drop
Chocolate flakes milk,per 100g,15,"5,8",454,"0,06","0,24","0,05","0,58",0,"1,2",0.0,35.0,110.0,"4,4",64.0,158.0,347.0,49.0,"0,31",Drop
